step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,8384,56.0,3.59262,11.9757,14.3102,-4.565,-5.239,0
1,13000000,4880,33.0,9.01537,12.4598,11.4107,-4.43,-4.636,0
1,13000000,4881,33.0,9.04776,12.5009,11.8084,-5.939,-4.664,0
1,13000000,859,6.0,12.5585,15.6263,8.81199,-8.945,-6.578,1
1,13000000,4878,33.0,8.60782,12.3846,10.9069,-3.972,-4.665,0
1,13000000,4879,33.0,8.62631,12.4373,11.295,-4.27,-4.734,0
1,13000000,4877,33.0,8.75887,12.6869,10.7394,-5.449,-4.671,0
1,13000000,860,6.0,12.4304,15.9913,8.7312,-10.767,-6.738,1
1,13000000,861,6.0,12.1032,16.1071,8.90927,-6.235,-6.913,1
1,13000000,8393,56.0,4.36466,9.91079,14.1828,-5.902,-5.349,0
1,13000000,3165,22.0,2.15537,9.82841,11.4714,-7.748,-5.179,0
1,13000000,3164,22.0,2.24226,9.91963,11.11,-5.357,-5.134,0
1,13000000,8395,56.0,4.14689,9.28517,14.185,-6.611,-5.339,0
1,13000000,853,6.0,13.7633,14.211,8.15642,-7.382,-5.503,0
1,13000000,2287,16.0,3.07706,14.9484,14.3906,-3.928,-4.949,0
1,13000000,3166,22.0,2.19717,9.44249,11.5789,-5.411,-5.128,0
1,13000000,3167,22.0,2.16578,9.40954,11.9725,-4.737,-5.267,0
1,13000000,852,6.0,13.9387,14.048,7.85873,-3.909,-5.358,0
1,13000000,851,6.0,14.1677,13.7336,7.90356,-7.759,-5.154,0
1,13000000,847,6.0,14.9734,13.0264,8.12051,-2.663,-4.897,0
1,13000000,846,6.0,15.2014,13.0858,8.43846,-3.341,-4.904,0
1,13000000,848,6.0,14.7865,13.3514,8.01912,-3.504,-4.943,0
1,13000000,850,6.0,14.3645,13.6287,7.60122,-5.264,-5.03,0
1,13000000,849,6.0,14.5735,13.3187,7.69427,-5.296,-4.898,0
1,13000000,8390,56.0,4.77219,10.7947,13.973,-5.185,-5.283,0
1,13000000,1529,11.0,9.46912,1.76777,5.58074,-5.589,-6.377,1
1,13000000,4882,33.0,8.94081,12.1971,12.0247,-3.426,-4.632,0
1,13000000,8389,56.0,4.49373,11.0746,13.9421,-4.21,-5.235,0
