atom_id,umap1,umap2,S_avg,c_label
196,-2.1981206,3.0257552,-5.196,0
197,-0.0825062,6.099056,-5.249,0
198,-2.9392502,0.43851537,-5.286,0
199,-2.641916,0.12778251,-5.282,0
200,0.27194455,3.3261733,-5.374,0
201,0.5836191,2.7452662,-5.419,0
202,-0.7170743,5.6718216,-5.422,0
203,0.054290786,4.7348185,-5.24,0
204,0.35107425,4.164007,-5.119,0
205,-2.9280324,-0.34129426,-5.165,0
206,-1.7746841,3.257908,-4.999,0
207,-1.0258427,3.3435566,-5.116,0
208,-0.18088712,2.424985,-5.103,0
209,-2.0969288,-0.5025078,-5.007,0
210,-1.7753625,-0.31763667,-5.122,0
211,-1.9607027,-0.51208717,-5.063,0
212,-1.4345305,3.9272664,-5.079,0
213,-0.05051438,6.5478153,-5.12,0
214,0.5141468,-0.56638104,-5.143,0
215,0.49556774,-0.54200774,-5.185,0
216,0.2924302,-0.4972119,-5.193,0
217,-1.8910307,-0.4449643,-5.129,0
218,-1.4628841,2.15259,-5.23,0
219,-0.9176288,3.4816551,-5.274,0
220,-0.34106898,2.0871477,-5.077,0
221,-0.7682078,-0.015696729,-5.098,0
222,-2.4972434,0.55244887,-5.117,0
223,-0.46074718,2.2975569,-4.982,0
224,0.004643459,2.9344628,-5.032,0
225,-0.0985215,-0.7078339,-4.986,0
226,0.38942647,0.04187547,-5.03,0
227,-1.6667893,-0.1033305,-5.131,0
228,0.41313735,1.1056226,-5.147,0
229,-0.81395555,2.1962273,-5.247,0
230,0.49950203,0.92593163,-5.278,0
231,-1.0953292,2.174535,-5.274,0
232,0.2960961,-0.34896538,-5.29,0
233,-0.68451285,2.9762378,-5.314,0
234,0.51795167,2.7084684,-5.309,0
235,-1.345933,1.7339851,-5.419,0
236,-0.03404537,4.6871467,-5.454,0
237,-1.603744,-0.4250646,-5.496,0
238,1.1339229,1.1816494,-5.485,1
239,-0.8073101,5.087438,-5.552,0
240,-2.0552669,0.19097953,-5.545,0
241,-0.2622453,-0.7688653,-5.677,0
242,-2.8824706,-0.12511234,-5.518,0
243,-0.45842004,3.7022982,-5.568,0
244,-3.0156844,1.1211867,-5.433,0
245,0.65932316,1.4988714,-5.366,0
246,-2.4853144,0.21982181,-5.432,0
247,0.4316929,0.53025943,-5.348,0
248,0.31796476,3.147727,-5.211,0
249,-0.42584157,2.0708408,-5.311,0
250,0.22102651,3.1677713,-5.38,0
251,-0.41935095,-1.0389508,-5.417,0
252,0.07763192,3.1664574,-5.337,0
253,-0.362943,2.3029625,-5.479,0
254,-0.33093113,5.54852,-5.442,0
255,-2.0174534,-1.043443,-5.401,0
256,-2.3026884,0.595044,-5.328,0
257,-2.5664554,0.9489771,-5.339,0
258,-0.38994554,0.27549982,-5.258,0
259,-0.5374656,0.28893387,-5.153,0
260,-2.3563528,-0.32911158,-5.08,0
261,-0.17210235,2.867884,-5.07,0
262,-2.2471104,1.4716203,-5.025,0
263,-1.7107148,0.11652614,-4.982,0
264,-2.4108024,-0.28069836,-5.007,0
265,-2.637264,-0.3242906,-4.981,0
266,-2.5200443,1.2694713,-4.862,0
267,-0.7997427,-0.7812319,-4.867,0
268,-2.0303783,2.264304,-4.897,0
269,-1.2297322,0.58451396,-4.871,0
270,-0.6793959,-0.9266521,-4.906,0
271,-2.5619218,-0.31741476,-4.974,0
272,-0.8323481,1.3013934,-4.944,0
273,-0.7554598,1.060591,-4.835,0
274,-1.8277715,-0.08829807,-4.879,0
275,-0.91944826,0.9824436,-4.926,0
276,-1.5459582,1.9534006,-4.853,0
277,0.25822058,2.9385307,-4.851,0
278,-1.7849238,2.2278395,-4.911,0
279,-0.86473167,2.377064,-4.881,0
280,-1.2401297,-1.1957582,-4.911,0
281,-1.8495977,0.63865554,-4.972,0
282,-1.5755186,3.8735049,-5.14,0
283,0.22938104,3.179898,-5.082,0
284,-2.5124261,-0.24141483,-5.177,0
285,-0.6032266,-1.197731,-5.267,0
286,-2.3431652,3.1230466,-5.32,0
287,-1.0667884,4.5545716,-5.367,0
288,0.41691115,-0.6738637,-5.35,0
289,-1.5640783,1.8646454,-5.35,0
290,-0.7141881,3.6085181,-5.309,0
291,-2.4857266,-0.69923013,-5.195,0
292,-1.0056494,-0.2560173,-5.253,0
293,-1.5629581,-0.54972476,-5.223,0
294,-0.26969597,1.0792221,-5.138,0
295,-1.7215875,2.4076982,-4.993,0
296,-1.7202464,0.11433643,-5.057,0
297,-1.877707,-0.7697152,-4.995,0
298,-0.40838933,2.7790651,-4.97,0
299,-0.113488056,2.705475,-4.945,0
300,-1.0131787,4.9934072,-4.912,0
301,0.6608861,0.02826433,-5.561,0
302,0.27029917,4.016181,-5.949,0
303,1.2847688,2.6582642,-5.989,0
