row,umap1,umap2
2348,3.428927,0.45556515
2349,2.1006887,3.6343699
2350,3.7417195,3.8653398
2351,3.1003482,4.231189
2352,4.0057693,0.17312683
2353,-0.5616889,0.57131743
2354,-3.2446866,3.409701
2355,-0.070234984,2.0381494
2356,-1.1340438,3.4866905
2357,-1.3401755,2.7521746
2358,4.460088,0.3202575
2359,3.7932496,3.5334768
2360,3.782403,2.862287
2361,4.184673,4.321287
2362,2.9248042,4.6741714
2363,2.7494187,4.4525447
2364,1.9445442,4.061252
2365,2.4424946,4.5172353
2366,2.0998783,4.293453
2367,5.5059595,0.6073966
2368,-2.2695467,2.4683256
2369,-3.0119257,3.709838
2370,5.1251993,0.07282271
2371,2.6513138,3.4524806
2372,-3.2126062,2.9907038
2373,0.5803365,0.21108724
2374,-0.6892381,-0.045427803
2375,-3.0026853,0.68862224
2376,2.6928077,-0.86984736
2377,-3.4525092,2.080358
2378,-2.0684958,2.6274638
2379,4.6443033,-0.632579
2380,-1.3187572,1.52197
2381,-0.21016914,0.59536624
2382,-0.48000306,2.067802
2383,-2.2942274,2.4150767
2384,3.7901866,-0.34652683
2385,-0.31275967,1.7907219
2386,-3.5860744,2.0466254
2387,0.82381773,0.096438326
2388,-0.23236863,0.6851084
2389,0.16309077,1.9710473
2390,0.5802408,1.005234
2391,-0.36327302,0.9416913
2392,-0.91971487,0.5448713
2393,-1.7045186,2.6701035
2394,4.606497,-0.7530039
2395,-2.1725762,2.1592462
2396,-3.7017114,2.1101465
2397,-12.567488,3.7527397
2398,14.206445,12.811913
2399,16.59078,5.2172065
2400,16.528688,5.298616
2401,14.109881,12.900314
2402,-12.887674,3.4141114
2403,1.721702,-0.2752621
2404,2.6355486,3.171999
2405,2.8352652,4.540978
2406,3.0521574,0.41938958
2407,-1.8423685,0.91438675
2408,-3.1128056,2.0620315
2409,2.3794742,-0.7598172
2410,-2.5925758,0.75051624
2411,-0.9397238,-0.80885166
2412,1.6506861,-1.1768209
2413,-1.3597699,-0.6776869
2414,-1.687482,-0.37738752
2415,2.5943935,0.5247078
2416,3.5471857,0.24932116
2417,-2.07767,3.956109
2418,-1.3426226,1.6084496
2419,4.5304904,0.048388578
2420,4.0269704,7.939481
2421,3.611053,5.8686867
2422,4.8041716,1.441284
2423,-1.2538742,2.5997891
2424,-2.083577,3.5400095
2425,5.5088797,0.7914585
2426,3.31951,4.581084
2427,4.2961025,5.730835
2428,3.0301182,3.6740801
2429,4.045467,4.6305084
2430,3.9134426,5.619759
2431,4.7559137,0.7334743
2432,-2.1292949,2.1849318
2433,-2.0264235,0.45027047
2434,2.3327563,-0.7768178
2435,-0.87822515,-0.958969
2436,-1.4860626,-0.60650533
2437,2.3620596,-0.82259333
2438,-0.86028117,-0.8573343
2439,-2.6625557,0.6570583
2440,4.467054,-0.26130375
2441,2.451171,4.951572
2442,5.424279,1.3187494
2443,-2.8877945,4.5261354
2444,-2.1661627,3.1396532
